saat,transfer_type,transfertipid,ulasimturu,line,passage,passanger
2021-06-09 02:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,10,5
2021-06-11 06:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,29436,14551
2021-06-17 04:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,19420,9554
2021-06-24 06:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,1166,582
2021-06-04 08:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,12607,1797
2021-06-05 10:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,2128,301
2021-06-14 01:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,63,9
2021-06-15 01:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,4450,2211
2021-06-21 07:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,17708,8739
2021-06-27 05:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,4174,2048
2021-06-01 09:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,17857,2527
2021-06-07 07:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,57078,8023
2021-06-12 12:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,14,2
2021-06-14 09:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,12292,1753
2021-06-15 11:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,168,24
2021-06-01 01:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,16,8
2021-06-25 02:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,7084,3503
2021-06-01 11:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,25473,3570
2021-06-02 05:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,70,10
2021-06-05 04:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,38570,5447
2021-06-17 08:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,39424,5569
2021-06-25 12:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,22071,3124
2021-06-28 11:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,23331,3307
2021-06-30 01:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,25025,3550
2021-06-01 09:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,3300,1643
2021-06-02 11:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,72,36
2021-06-05 10:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,5662,2809
2021-06-07 07:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,3766,1883
2021-06-12 06:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,2835,405
2021-06-15 05:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,14966,2115
2021-06-17 10:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,25886,3629
2021-06-27 09:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,6475,906
2021-06-04 08:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,12186,6014
2021-06-15 11:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,4240,2103
2021-06-18 10:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,404,202
2021-06-03 01:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,18788,2672
2021-06-07 03:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,70,10
2021-06-20 10:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,3059,425
2021-06-22 07:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,11690,1667
2021-06-28 05:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,49,7
2021-06-08 03:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,6226,3095
2021-06-12 12:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,17710,8689
2021-06-14 09:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,6458,3190
2021-06-17 08:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,12638,6276
2021-06-25 12:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,8,4
2021-06-13 02:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,5117,721
2021-06-25 06:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,100499,14179
2021-06-02 05:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,20354,10005
2021-06-30 11:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,22309,3160
2021-06-15 05:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,16,8
2021-06-27 09:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,1494,719
2021-06-28 11:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,714,350
2021-06-23 03:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,18564,2620
2021-06-29 01:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,25578,3639
2021-06-12 06:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,32208,15867
2021-06-18 04:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,17498,8621
2021-06-20 10:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,74,37
2021-06-25 06:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,1096,548
2021-06-05 08:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,10570,1508
2021-06-06 10:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,105,15
2021-06-15 01:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,49,6
2021-06-30 05:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,63,9
2021-06-10 03:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,7082,3504
2021-06-16 01:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,3152,1568
2021-06-22 07:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,20202,9950
2021-06-28 05:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,27588,13567
2021-06-02 09:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,18137,2566
2021-06-08 07:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,56063,7915
2021-06-13 12:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,56,8
2021-06-15 09:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,12733,1815
2021-06-16 11:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,203,29
2021-06-02 01:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,14,7
2021-06-26 02:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,10632,5269
2021-06-30 11:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,948,465
2021-06-02 11:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,27216,3795
2021-06-03 05:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,49,7
2021-06-06 04:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,5915,832
2021-06-18 08:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,30366,4293
2021-06-29 11:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,21644,3068
2021-06-03 11:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,54,27
